Subject_ID,Slide_Image,Event,CNT,Time,TIME(2016/06/23 15:20:38.225),TIMETICK(f=2531445),FPOGX,FOGY,Xpos,Ypos,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN
s32,fruit.bmp,1,24,394.14,0.39414,23786018920,435.0464,349.04064,0.42485,0.45448,0.18046,0.21368,2,1,0.33956,0.45105,1,-0.96582,0.31771,0,,0.30875,0.74378,17.79667,0.94266,1,0.63752,0.67116,17.4303,0.94583,1,0,0,8
s32,fruit.bmp,1,25,413.17,0.41317,23786067104,429.21984,348.85632,0.41916,0.45424,0.18046,0.23272,2,1,0.33952,0.45083,1,-0.93652,0.35026,0,,0.30852,0.74324,17.19323,0.94287,1,0.63703,0.67131,17.53561,0.94604,1,0,0,8
s32,fruit.bmp,1,26,427.14,0.42714,23786102465,425.96352,347.92704,0.41598,0.45303,0.18046,0.24669,2,1,0.36819,0.43488,1,-0.93652,0.35026,0,,0.30624,0.74553,17.78088,0.94308,1,0.6346,0.6711,17.04964,0.94625,1,0,0,8
s32,fruit.bmp,1,30,492.37,0.49237,23786267585,382.74048,335.31648,0.37377,0.43661,0.44351,0.04886,3,1,0.37484,0.4323,1,-0.80371,0.4349,0,,0.30172,0.74742,16.90548,0.92268,1,0.62975,0.67059,16.69581,0.91772,1,0,0,8
s32,fruit.bmp,1,31,509.11,0.50911,23786309968,383.40608,336.33024,0.37442,0.43793,0.44351,0.06561,3,1,0.37701,0.44319,1,-0.72852,0.45833,0,,0.30157,0.74663,16.74267,0.91042,1,0.62963,0.67027,16.57748,0.90926,1,0,0,8
s32,fruit.bmp,1,32,525.27,0.52527,23786350866,383.09888,336.17664,0.37412,0.43773,0.44351,0.08176,3,1,0.37265,0.43674,1,-0.72852,0.45833,0,,0.30082,0.74659,16.43727,0.90196,1,0.62906,0.67009,16.55424,0.90492,1,0,0,8
s32,fruit.bmp,1,33,542.3,0.5423,23786393980,381.04064,332.33664,0.37211,0.43273,0.44351,0.09879,3,1,0.36005,0.40273,1,-0.64551,0.48307,0,,0.30077,0.7461,16.36441,0.89762,1,0.62878,0.66987,16.56944,0.90058,1,0,0,8
s32,fruit.bmp,1,34,558.18,0.55818,23786434179,379.50464,329.47968,0.37061,0.42901,0.44351,0.11467,3,1,0.36009,0.40296,1,-0.64551,0.48307,0,,0.30076,0.74672,16.69136,0.89741,1,0.62879,0.66976,16.52784,0.90037,1,0,0,8
s32,fruit.bmp,1,35,574.6,0.5746,23786475747,380.71296,336.89088,0.37179,0.43866,0.44351,0.13109,3,1,0.3812,0.51584,1,-0.51855,0.51042,0,,0.30106,0.74533,15.93462,0.89719,1,0.62914,0.66901,16.2083,0.89603,1,0,0,8
s32,fruit.bmp,1,36,590.84,0.59084,23786516862,381.22496,337.2288,0.37229,0.4391,0.44351,0.14734,3,1,0.3768,0.44306,1,-0.51855,0.51042,0,,0.30134,0.74454,16.08391,0.90099,1,0.62959,0.66883,16.38606,0.89983,1,0,0,8
s32,fruit.bmp,1,37,607.68,0.60768,23786559500,381.58336,337.22112,0.37264,0.43909,0.44351,0.16418,3,1,0.37615,0.43899,1,-0.41211,0.53776,0,,0.30147,0.74434,15.91873,0.90479,1,0.62974,0.66838,16.09086,0.90362,1,0,0,8
s32,fruit.bmp,1,38,624.18,0.62418,23786601249,381.96224,337.42848,0.37301,0.43936,0.44351,0.18067,3,1,0.37716,0.44241,1,-0.35547,0.57161,0,,0.30252,0.7432,15.45823,0.90858,1,0.63052,0.66783,16.22843,0.91155,1,0,0,8
s32,fruit.bmp,1,39,641.02,0.64102,23786643896,386.60096,333.37344,0.37754,0.43408,0.44351,0.19752,3,1,0.43187,0.37064,1,-0.35547,0.57161,0,,0.30395,0.74212,16.53439,0.91271,1,0.63215,0.66678,16.26417,0.91567,1,0,0,8
s32,fruit.bmp,1,40,658.66,0.65866,23786688532,390.52288,329.75616,0.38137,0.42937,0.44351,0.21515,3,1,0.43117,0.36815,1,-0.31152,0.59375,0,,0.30449,0.74107,16.12516,0.91684,1,0.6325,0.66618,16.64608,0.916,1,0,0,8
s32,fruit.bmp,1,41,673.27,0.67327,23786725516,396.27776,327.53664,0.38699,0.42648,0.44351,0.22976,3,1,0.4657,0.38608,1,-0.31152,0.59375,0,,0.30636,0.73991,15.94597,0.91717,1,0.63416,0.66606,16.44043,0.91221,1,0,0,8
s32,fruit.bmp,1,42,690.76,0.69076,23786769815,399.872,322.59072,0.3905,0.42004,0.44351,0.24726,3,1,0.44305,0.3234,1,-0.31152,0.59375,0,,0.30632,0.74026,16.04536,0.91337,1,0.63441,0.66628,16.34342,0.90841,1,0,0,8
s32,fruit.bmp,1,43,708.37,0.70837,23786814388,403.07712,318.2208,0.39363,0.41435,0.44351,0.26487,3,1,0.44372,0.32329,1,-0.30859,0.58984,0,,0.30631,0.74038,16.16222,0.90957,1,0.63443,0.66663,16.63658,0.91275,1,0,0,8
s32,fruit.bmp,1,44,722.77,0.72277,23786850820,406.4768,311.83104,0.39695,0.40603,0.44351,0.27926,3,1,0.45348,0.26464,1,-0.30859,0.58984,0,,0.30649,0.74049,16.25802,0.91391,1,0.63484,0.66668,16.66536,0.91709,1,0,0,8
s32,fruit.bmp,1,51,837.61,0.83761,23787141546,467.64032,206.43072,0.45668,0.26879,0.78889,0.04872,4,1,0.46854,0.28923,1,-0.30859,0.58984,0,,0.30523,0.74377,16.32162,0.94266,1,0.63359,0.66894,16.27377,0.94149,1,0,0,8
s32,fruit.bmp,1,52,854.11,0.85411,23787183301,470.12864,210.36288,0.45911,0.27391,0.78889,0.06521,4,1,0.46883,0.29439,1,-0.30859,0.58984,0,,0.30523,0.74377,16.32162,0.93832,1,0.63352,0.66886,16.22907,0.93715,1,0,0,8
s32,fruit.bmp,1,53,870.25,0.87025,23787224178,467.0464,212.19072,0.4561,0.27629,0.78889,0.08136,4,1,0.44107,0.28818,1,-0.30859,0.58984,0,,0.30567,0.74355,16.41629,0.93398,1,0.63361,0.66879,16.171,0.93282,1,0,0,8
s32,fruit.bmp,1,54,887.01,0.88701,23787266593,465.39776,215.6544,0.45449,0.2808,0.78889,0.09811,4,1,0.44482,0.30788,1,-0.30859,0.58984,0,,0.30565,0.74373,16.26555,0.92964,1,0.63378,0.66895,16.21392,0.92848,1,0,0,8
s32,fruit.bmp,1,55,903.47,0.90347,23787308256,464.25088,218.48064,0.45337,0.28448,0.78889,0.11457,4,1,0.44553,0.31027,1,-0.30859,0.58984,0,,0.30593,0.74375,16.24535,0.9253,1,0.63379,0.66924,16.5447,0.92848,1,0,0,8
s32,fruit.bmp,1,56,919.74,0.91974,23787349441,466.81088,219.33312,0.45587,0.28559,0.78889,0.13084,4,1,0.47589,0.29444,1,-0.30859,0.58984,0,,0.30642,0.7442,15.88995,0.9253,1,0.63415,0.67017,16.84202,0.92848,1,0,0,8
s32,fruit.bmp,1,57,935.95,0.93595,23787390487,466.36032,220.94592,0.45543,0.28769,0.78889,0.14706,4,1,0.4515,0.30655,1,-0.30859,0.58984,0,,0.30645,0.74437,15.962,0.92964,1,0.63467,0.67034,16.67153,0.93282,1,0,0,8
s32,fruit.bmp,1,58,953.18,0.95318,23787434100,465.94048,222.07488,0.45502,0.28916,0.78889,0.16428,4,1,0.45091,0.3039,1,-0.30859,0.58984,0,,0.30653,0.74471,16.07255,0.93398,1,0.63479,0.67056,16.81441,0.93282,1,0,0,8
s32,fruit.bmp,1,59,971.67,0.97167,23787480904,463.88224,221.19168,0.45301,0.28801,0.78889,0.18277,4,1,0.43093,0.27536,1,-0.30859,0.58984,0,,0.30765,0.74481,16.445,0.93398,1,0.63566,0.67084,16.4849,0.93282,1,0,0,8
s32,fruit.bmp,1,60,985.57,0.98557,23787516096,464.27136,236.35968,0.45339,0.30776,0.78889,0.19668,4,1,0.4579,0.54472,1,-0.30859,0.58984,0,,0.30853,0.75004,15.78285,0.93398,1,0.6368,0.67658,16.50109,0.93282,1,0,0,8
s32,fruit.bmp,1,61,1001.98,1.00198,23787557632,464.61952,249.24672,0.45373,0.32454,0.78889,0.21309,4,1,0.45819,0.54271,1,-0.2832,0.58073,0,,0.30917,0.75053,16.08355,0.93398,1,0.63685,0.67757,16.25308,0.93715,1,0,0,8
s32,fruit.bmp,1,62,1028.06,1.02806,23787623651,465.9712,266.78784,0.45505,0.34738,0.78889,0.23916,4,1,0.47346,0.66714,1,-0.25,0.57552,0,,0.31016,0.75554,16.08592,0.93832,1,0.63821,0.68257,16.30991,0.94149,1,0,0,8
s32,fruit.bmp,1,69,1133.17,1.13317,23787889747,492.21632,530.39616,0.48068,0.69062,1.08479,0.04839,5,1,0.51215,0.69552,1,-0.12695,0.56641,0,,0.31143,0.75546,16.47388,0.95133,1,0.64044,0.68324,16.98988,0.95451,1,0,0,8
s32,fruit.bmp,1,70,1149.79,1.14979,23787931798,498.6368,530.59584,0.48695,0.69088,1.08479,0.065,5,1,0.51205,0.69191,1,-0.12695,0.56641,0,,0.31146,0.75529,16.6393,0.9561,1,0.64054,0.68319,16.85898,0.95927,1,0,0,8
s32,fruit.bmp,1,71,1166.17,1.16617,23787973281,497.9712,553.06752,0.4863,0.72014,1.08479,0.08138,5,1,0.48303,0.86645,1,-0.08496,0.56771,0,,0.31238,0.75618,12.13094,0.96086,1,0.64054,0.68319,16.85898,0.96403,0,0,0,8
s32,fruit.bmp,1,72,1182.72,1.18272,23788015177,497.9712,553.06752,0.4863,0.72014,1.08479,0.09793,5,1,0.48303,0.86645,0,-0.08496,0.56771,0,,0.31238,0.75618,12.13094,0.96562,0,0.64054,0.68319,16.85898,0.96879,0,0,0,8
s32,fruit.bmp,1,73,1198.82,1.19882,23788055922,497.9712,553.06752,0.4863,0.72014,1.08479,0.11403,5,1,0.48303,0.86645,0,-0.0498,0.57031,0,,0.31238,0.75618,12.13094,0.97038,0,0.64054,0.68319,16.85898,0.97356,0,0,0,8
s32,fruit.bmp,1,74,1215.21,1.21521,23788097422,497.9712,553.06752,0.4863,0.72014,1.08479,0.13042,5,1,0.48303,0.86645,0,-0.0498,0.57031,0,,0.31238,0.75618,12.13094,0.97514,0,0.64054,0.68319,16.85898,0.97832,0,1726,0,8
s32,fruit.bmp,1,93,1527.71,1.52771,23788888497,472.32,419.60448,0.46125,0.54636,1.4784,0.04931,6,1,0.45438,0.53429,1,0.3125,0.58073,0,,0.31332,0.75327,17.36489,0.94784,1,0.64295,0.68088,17.70683,0.94625,1,0,0,9
s32,fruit.bmp,1,94,1544.13,1.54413,23788930059,470.99904,418.42944,0.45996,0.54483,1.4784,0.06573,6,1,0.45477,0.53871,1,0.3125,0.58073,0,,0.3134,0.75332,17.50495,0.94308,1,0.64302,0.68079,17.53949,0.94149,1,0,0,9
s32,fruit.bmp,1,95,1560.77,1.56077,23788972179,467.32288,422.88384,0.45637,0.55063,1.4784,0.08237,6,1,0.43847,0.57961,1,0.3125,0.58073,0,,0.31384,0.75347,17.21364,0.93832,1,0.64393,0.68125,17.22675,0.94149,1,0,0,9
s32,fruit.bmp,1,96,1580.26,1.58026,23789021527,463.1552,426.83904,0.4523,0.55578,1.4784,0.10186,6,1,0.42784,0.5867,1,0.3125,0.58073,0,,0.31418,0.75373,17.33831,0.94266,1,0.64389,0.68193,17.79847,0.94583,1,0,0,9
s32,fruit.bmp,1,97,1593.17,1.59317,23789054198,459.96032,429.44256,0.44918,0.55917,1.4784,0.11477,6,1,0.42737,0.58291,1,0.3125,0.58073,0,,0.31429,0.7538,17.80643,0.947,1,0.64406,0.68225,17.58828,0.95017,1,0,0,9
s32,fruit.bmp,1,98,1609.76,1.60976,23789096204,456.63232,430.52544,0.44593,0.56058,1.4784,0.13136,6,1,0.41989,0.57182,1,0.3125,0.58073,0,,0.31367,0.75436,17.37637,0.95133,1,0.64328,0.683,17.99134,0.95451,1,0,0,9
s32,fruit.bmp,1,99,1626.3,1.6263,23789138078,448.74752,437.17632,0.43823,0.56924,1.4784,0.1479,6,1,0.36898,0.64721,1,0.3125,0.58073,0,,0.31354,0.75448,17.38203,0.95133,1,0.6428,0.68328,17.9086,0.95451,1,0,0,9
s32,fruit.bmp,1,100,1643.02,1.64302,23789180394,442.28608,442.74432,0.43192,0.57649,1.4784,0.16462,6,1,0.3688,0.64899,1,0.3125,0.58073,0,,0.31352,0.7544,17.28904,0.95133,1,0.64254,0.68327,18.23286,0.95017,1,0,0,9
s32,fruit.bmp,1,101,1658.97,1.65897,23789220755,435.02592,442.91328,0.42483,0.57671,1.4784,0.18056,6,1,0.34687,0.57914,1,0.3125,0.58073,0,,0.31396,0.75326,17.2093,0.947,1,0.64354,0.68132,17.72623,0.94583,1,0,0,9
s32,fruit.bmp,1,102,1675.35,1.67535,23789262245,430.9504,444.89472,0.42085,0.57929,1.4784,0.19695,6,1,0.3731,0.61021,1,0.3125,0.58073,0,,0.31423,0.75279,17.24501,0.94266,1,0.64401,0.68086,17.58617,0.94149,1,0,0,9
s32,fruit.bmp,1,103,1691.64,1.69164,23789303471,427.53024,446.68416,0.41751,0.58162,1.4784,0.21324,6,1,0.37398,0.61188,1,0.3125,0.58073,0,,0.31424,0.7528,17.27958,0.93832,1,0.64373,0.68131,18.28484,0.94149,1,0,0,9
s32,fruit.bmp,1,104,1708.06,1.70806,23789345031,423.04512,446.67648,0.41313,0.58161,1.4784,0.22966,6,1,0.35192,0.58156,1,0.3125,0.58073,0,,0.31482,0.7532,17.21937,0.93832,1,0.64437,0.68204,18.44781,0.94149,1,0,0,9
s32,fruit.bmp,1,105,1724.63,1.72463,23789386985,419.88096,447.14496,0.41004,0.58222,1.4784,0.24623,6,1,0.36369,0.59135,1,0.3125,0.58073,0,,0.31501,0.75355,17.05009,0.93832,1,0.64478,0.68241,18.40788,0.94149,1,0,0,9
s32,fruit.bmp,1,109,1790.49,1.79049,23789553699,380.64128,462.53568,0.37172,0.60226,1.74111,0.04938,7,1,0.36845,0.58181,1,0.34668,0.56641,0,,0.3165,0.75191,16.74181,0.947,1,0.64663,0.68171,18.29106,0.95017,1,0,0,9
s32,fruit.bmp,1,110,1806.72,1.80672,23789594782,384.9728,468.56448,0.37595,0.61011,1.74111,0.06561,7,1,0.39289,0.64152,1,0.34668,0.56641,0,,0.3167,0.75115,16.66835,0.95133,1,0.64686,0.68118,17.8017,0.95451,1,0,0,9
s32,fruit.bmp,1,111,1823.17,1.82317,23789636445,383.42656,462.1056,0.37444,0.6017,1.74111,0.08207,7,1,0.36689,0.55967,1,0.40723,0.54557,0,,0.31644,0.75172,16.72094,0.95133,1,0.64642,0.68168,17.95222,0.95451,1,0,0,9
s32,fruit.bmp,1,112,1839.65,1.83965,23789678144,382.30016,457.72032,0.37334,0.59599,1.74111,0.09854,7,1,0.36675,0.56171,1,0.40723,0.54557,0,,0.31649,0.75173,17.17087,0.95133,1,0.6466,0.68125,17.32376,0.95017,1,0,0,9
s32,fruit.bmp,1,113,1871.32,1.87132,23789758331,380.98944,455.27808,0.37206,0.59281,1.74111,0.13021,7,1,0.36305,0.57055,1,0.50195,0.52083,0,,0.31546,0.7535,16.87019,0.947,1,0.64522,0.68318,17.76347,0.94583,1,0,0,9
s32,fruit.bmp,1,114,1875.38,1.87538,23789768601,378.17344,458.1888,0.36931,0.5966,1.74111,0.13427,7,1,0.34735,0.62694,1,0.50195,0.52083,0,,0.31484,0.75395,16.84839,0.94266,1,0.64468,0.68314,17.62373,0.94149,1,0,0,9
s32,fruit.bmp,1,115,1888.78,1.88878,23789802523,376.02304,460.66176,0.36721,0.59982,1.74111,0.14767,7,1,0.34825,0.62877,1,0.50195,0.52083,0,,0.31466,0.75397,16.71229,0.93832,1,0.64483,0.68277,17.20875,0.94149,1,0,0,9
s32,fruit.bmp,1,116,1906.44,1.90644,23789847217,375.92064,463.0656,0.36711,0.60295,1.74111,0.16533,7,1,0.36619,0.63422,1,0.50195,0.52083,0,,0.31439,0.75296,16.98523,0.93832,1,0.64432,0.68162,17.09707,0.94149,1,0,0,9
s32,fruit.bmp,1,117,1921.62,1.92162,23789885649,378.85952,464.74752,0.36998,0.60514,1.74111,0.18051,7,1,0.40154,0.62923,1,0.5332,0.51823,0,,0.31447,0.75245,16.66155,0.93832,1,0.64443,0.68019,16.50133,0.94149,1,0,0,9
s32,fruit.bmp,1,118,1938.31,1.93831,23789927907,381.34784,466.16832,0.37241,0.60699,1.74111,0.1972,7,1,0.40154,0.62923,1,0.54785,0.51693,0,,0.31446,0.75245,16.72736,0.93832,1,0.64452,0.6807,17.1585,0.94149,1,0,0,9
s32,fruit.bmp,1,119,1955.41,1.95541,23789971189,382.1056,464.93952,0.37315,0.60539,1.74111,0.2143,7,1,0.38276,0.58459,1,0.54785,0.51693,0,,0.31404,0.75189,16.81589,0.93832,1,0.64426,0.68064,16.99956,0.94149,1,0,0,9
s32,fruit.bmp,1,120,1970.92,1.97092,23790010452,381.25568,465.09312,0.37232,0.60559,1.74111,0.22981,7,1,0.36069,0.60844,1,0.56445,0.51693,0,,0.3137,0.75202,16.55,0.94266,1,0.64349,0.68131,17.3777,0.94583,1,0,0,9
s32,fruit.bmp,1,121,1987.27,1.98727,23790051849,380.45696,465.05472,0.37154,0.60554,1.74111,0.24617,7,1,0.3599,0.60476,1,0.56445,0.51693,0,,0.31374,0.75184,16.38269,0.947,1,0.64376,0.68084,16.83444,0.95017,1,0,0,9
s32,fruit.bmp,1,122,2003.96,2.00396,23790094098,390.66624,464.82432,0.38151,0.60524,1.74111,0.26286,7,1,0.541,0.60045,1,0.58594,0.51693,0,,0.31748,0.74981,17.01805,0.95133,1,0.64655,0.67989,17.25759,0.95451,1,0,0,9
s32,fruit.bmp,1,123,2020.22,2.02022,23790135264,401.22368,462.7584,0.39182,0.60255,1.74111,0.27912,7,1,0.56709,0.55685,1,0.58594,0.51693,0,,0.31695,0.74773,16.57473,0.95133,1,0.64576,0.67845,16.50545,0.95451,1,0,0,9
s32,fruit.bmp,1,124,2037.06,2.03706,23790177893,410.6752,460.9152,0.40105,0.60015,1.74111,0.29596,7,1,0.56709,0.55685,1,0.60547,0.51693,0,,0.3172,0.74822,17.59171,0.95133,1,0.64643,0.67822,16.89521,0.95451,1,0,0,9
s32,fruit.bmp,1,131,2151.78,2.15178,23790468297,582.77888,457.29792,0.56912,0.59544,2.10229,0.04949,8,1,0.53301,0.6445,1,0.7207,0.52604,0,,0.30938,0.74582,17.00662,0.947,1,0.63867,0.67353,16.89136,0.94583,1,0,0,9
s32,fruit.bmp,1,132,2169.19,2.16919,23790512359,582.95296,455.5776,0.56929,0.5932,2.10229,0.0669,8,1,0.56999,0.58422,1,0.7207,0.52604,0,,0.30902,0.7459,17.14832,0.94266,1,0.63856,0.67338,16.8946,0.94149,1,0,0,9
s32,fruit.bmp,1,133,2186.58,2.18658,23790556379,583.07584,454.37952,0.56941,0.59164,2.10229,0.08429,8,1,0.57001,0.58384,1,0.74512,0.52995,0,,0.30902,0.7459,17.14832,0.94308,1,0.63863,0.67336,16.92208,0.94192,1,0,0,9
s32,fruit.bmp,1,134,2201.12,2.20112,23790593185,595.92704,451.59168,0.58196,0.58801,2.10229,0.09883,8,1,0.65721,0.56622,1,0.74512,0.52995,0,,0.31212,0.74663,18.19766,0.9435,1,0.64089,0.67429,17.22316,0.94234,1,0,0,9
s32,fruit.bmp,1,135,2222.49,2.22249,23790647286,604.03712,445.39392,0.58988,0.57994,2.10229,0.1202,8,1,0.64533,0.52343,1,0.7627,0.52995,0,,0.31292,0.74698,18.08134,0.94393,1,0.64197,0.67515,17.15822,0.94276,1,0,0,9
s32,fruit.bmp,1,136,2240.39,2.24039,23790692611,610.37568,440.73984,0.59607,0.57388,2.10229,0.1381,8,1,0.6456,0.52543,1,0.7627,0.52995,0,,0.31253,0.74665,17.2305,0.93959,1,0.64213,0.67478,16.68233,0.94276,1,0,0,9
s32,fruit.bmp,1,137,2250.22,2.25022,23790717500,615.28064,440.77824,0.60086,0.57393,2.10229,0.14793,8,1,0.64399,0.57435,1,0.76855,0.52995,0,,0.31478,0.74833,17.9706,0.93959,1,0.64451,0.67767,16.98099,0.94276,1,0,0,9
s32,fruit.bmp,1,138,2266.7,2.2667,23790759209,618.33216,441.55392,0.60384,0.57494,2.10229,0.16441,8,1,0.63363,0.58502,1,0.76855,0.52995,0,,0.31596,0.74863,18.06361,0.94393,1,0.64549,0.67835,17.24703,0.9471,1,0,0,9
s32,fruit.bmp,1,139,2283.33,2.28333,23790801306,620.89216,441.79968,0.60634,0.57526,2.10229,0.18104,8,1,0.63386,0.57879,1,0.77441,0.52995,0,,0.31584,0.74821,17.45662,0.95303,1,0.646,0.6784,16.70796,0.95186,1,0,0,9
s32,fruit.bmp,1,140,2299.58,2.29958,23790842441,625.79712,439.62624,0.61113,0.57243,2.10229,0.19729,8,1,0.66862,0.5385,1,0.77441,0.52995,0,,0.31793,0.74854,17.94386,0.95779,1,0.64805,0.67928,17.11035,0.95186,1,0,0,9
s32,fruit.bmp,1,141,2315.99,2.31599,23790883981,628.45952,438.4128,0.61373,0.57085,2.10229,0.2137,8,1,0.64753,0.55026,1,0.77832,0.52995,0,,0.31863,0.74845,17.8723,0.95779,1,0.64862,0.67939,17.23565,0.95186,1,0,0,9
s32,fruit.bmp,1,142,2332.67,2.33267,23790926196,630.7328,437.57568,0.61595,0.56976,2.10229,0.23038,8,1,0.64695,0.55462,1,0.77832,0.52995,0,,0.3187,0.74839,17.84497,0.95303,1,0.64879,0.67934,17.03407,0.9471,1,0,0,9
s32,fruit.bmp,1,143,2348.92,2.34892,23790967348,634.70592,437.71392,0.61983,0.56994,2.10229,0.24663,8,1,0.67811,0.57266,1,0.78125,0.53255,0,,0.31929,0.74852,17.91576,0.94827,1,0.64939,0.67962,16.88695,0.9471,1,0,0,9
s32,fruit.bmp,1,144,2365.15,2.36515,23791008431,636.28288,436.70016,0.62137,0.56862,2.10229,0.26286,8,1,0.64592,0.54747,1,0.78125,0.53255,0,,0.31923,0.74889,18.26967,0.94393,1,0.64907,0.67987,17.08121,0.94276,1,0,0,9
s32,fruit.bmp,1,148,2431.11,2.43111,23791175401,659.89632,426.17088,0.64443,0.55491,2.38193,0.04918,9,1,0.65311,0.53929,1,0.78223,0.53646,0,,0.31838,0.74903,18.07444,0.9435,1,0.6478,0.67955,16.99354,0.94192,1,0,0,9
s32,fruit.bmp,1,149,2447.54,2.44754,23791216999,668.66176,433.78176,0.65299,0.56482,2.38193,0.06561,9,1,0.6872,0.60447,1,0.78223,0.53646,0,,0.31822,0.74764,17.863,0.94784,1,0.64743,0.67817,17.10012,0.95102,1,0,0,9
s32,fruit.bmp,1,150,2470.37,2.47037,23791274797,674.22208,428.87424,0.65842,0.55843,2.38193,0.08844,9,1,0.68558,0.52649,1,0.78223,0.53646,0,,0.31819,0.74707,18.12409,0.95694,1,0.64735,0.67786,16.87539,0.96012,1,0,0,9
s32,fruit.bmp,1,151,2480.36,2.48036,23791300089,678.4,424.4352,0.6625,0.55265,2.38193,0.09843,9,1,0.68702,0.51793,1,0.78223,0.53646,0,,0.31814,0.74709,18.21264,0.96604,1,0.64723,0.6777,17.31129,0.96922,1,0,0,9
s32,fruit.bmp,1,152,2496.77,2.49677,23791341616,679.08608,418.39872,0.66317,0.54479,2.38193,0.11484,9,1,0.66781,0.48977,1,0.78223,0.53646,0,,0.31799,0.74707,18.03603,0.97514,1,0.64711,0.67752,17.28444,0.97832,1,0,0,9
s32,fruit.bmp,1,153,2513.8,2.5138,23791384732,678.87104,417.7536,0.66296,0.54395,2.38193,0.13187,9,1,0.66128,0.53729,1,0.78223,0.53646,0,,0.3178,0.7471,18.09839,0.97991,1,0.64706,0.67771,17.13639,0.98308,1,0,0,9
s32,fruit.bmp,1,154,2529.53,2.52953,23791424555,678.69696,417.24672,0.66279,0.54329,2.38193,0.1476,9,1,0.66128,0.53729,1,0.78223,0.53646,0,,0.31776,0.74728,18.00971,0.97991,1,0.6471,0.67773,17.11724,0.98308,1,0,0,9
s32,fruit.bmp,1,155,2549.24,2.54924,23791474451,681.03168,416.09472,0.66507,0.54179,2.38193,0.16731,9,1,0.68788,0.52684,1,0.78223,0.53646,0,,0.3182,0.74676,18.19125,0.97991,1,0.64741,0.67739,17.16058,0.97832,1,0,0,9
s32,fruit.bmp,1,156,2568.12,2.56812,23791522228,682.20928,419.25888,0.66622,0.54591,2.38193,0.18618,9,1,0.67883,0.59116,1,0.78223,0.53646,0,,0.31852,0.74573,18.0531,0.97514,1,0.64771,0.67691,17.44921,0.97356,1,0,0,9
